date,weather,tempHigh,tempLow
91,Sprinkles. Low clouds.,37,36
92,Overcast.,39,37
93,Overcast.,39,37
94,Overcast.,38,37
95,Overcast.,35,34
96,Overcast.,36,35
97,Overcast.,35,35
98,Sprinkles. Low clouds.,34,34
99,Broken clouds.,36,36
100,Overcast.,36,35
101,Broken clouds.,35,34
102,Broken clouds.,34,34
103,Broken clouds.,38,37
104,Broken clouds.,39,38
105,Overcast.,39,39
106,Overcast.,42,41
107,Overcast.,40,39
108,Overcast.,39,39
109,Overcast.,40,39
110,Sprinkles. Low clouds.,38,38
111,Overcast.,38,38
112,No weather data available,,
113,Broken clouds.,36,36
114,Broken clouds.,37,36
115,Sprinkles. Low clouds.,39,37
116,Overcast.,40,37
117,Snow flurries. Overcast.,37,37
118,Light rain. Partly sunny.,40,39
119,Broken clouds.,40,38
120,Broken clouds.,39,38
