date,weather,tempHigh,tempLow
244,Overcast.,27,26
245,Overcast.,32,28
246,Fog.,32,28
247,Fog.,32,28
248,Overcast.,32,27
249,Scattered clouds.,32,28
250,Chilly.,32,27
251,Fog.,32,29
252,Fog.,28,28
253,Fog.,33,29
254,Passing clouds.,33,28
255,Fog.,33,28
256,Fog.,34,29
257,Overcast.,33,28
258,Overcast.,34,29
259,Overcast.,34,29
260,Overcast.,33,29
261,Overcast.,35,29
262,Overcast.,34,29
263,Overcast.,35,29
264,Overcast.,35,29
265,Overcast.,31,27
266,Overcast.,32,27
267,Overcast.,32,29
268,Overcast.,33,28
269,Fog.,33,29
270,Overcast.,34,28
271,Overcast.,34,28
272,More clouds than sun.,34,34
273,Chilly.,34,29
