date,weather,tempHigh,tempLow
121,Partly cloudy.,39,28
122,No weather data available,,
123,Mostly cloudy.,37,34
124,Scattered showers. Partly sunny.,38,32
125,Partly sunny.,33,27
126,Clear.,35,28
127,Scattered clouds.,35,30
128,Partly cloudy.,38,31
129,Clear.,35,30
130,Rain showers. Fog.,37,31
131,Scattered clouds.,33,27
132,Partly cloudy.,37,31
133,Partly cloudy.,39,34
134,Partly cloudy.,39,32
135,Partly cloudy.,41,34
136,Partly cloudy.,40,34
137,Partly cloudy.,40,34
138,Partly cloudy.,42,35
139,Partly cloudy.,39,33
140,Partly cloudy.,38,33
141,Partly cloudy.,38,32
142,Partly cloudy.,38,32
143,Rain showers. Fog.,37,34
144,Snow showers. Ice fog.,32,32
145,Partly sunny.,37,29
146,Partly cloudy.,37,30
147,Mostly cloudy.,40,34
148,Partly cloudy.,38,35
149,Passing clouds.,32,28
150,Snow flurries. Ice fog.,26,23
151,Passing clouds.,36,29
