date,weather,tempHigh,tempLow
60,Rain. Overcast.,29,17
61,Scattered clouds.,29,17
62,No weather data available,,
63,,30,30
64,Sunny.,26,26
65,Scattered clouds.,24,17
66,Overcast.,28,28
67,Overcast.,26,26
68,Scattered clouds.,26,19
69,Overcast.,28,28
70,Scattered clouds.,28,21
71,Scattered clouds.,26,20
72,Overcast.,25,25
73,Light snow. Partly cloudy.,24,18
74,Sunny.,27,27
75,,27,27
76,Fog.,30,30
77,Scattered clouds.,22,22
78,Low clouds.,30,23
79,Scattered clouds.,29,22
80,Light rain. Overcast.,30,23
81,No weather data available,,
82,Overcast.,29,21
83,Low clouds.,33,33
84,Low clouds.,33,25
85,Fog.,27,27
86,,28,28
87,Partly cloudy.,29,22
88,No weather data available,,
89,No weather data available,,
90,No weather data available,,
