date,weather,tempHigh,tempLow
305,Fog.,28,18
306,Rain. Overcast.,26,18
307,No weather data available,,
308,Fog.,28,18
309,Fog.,24,18
310,Partly sunny.,24,15
311,Partly sunny.,26,16
312,Fog.,25,18
313,Partly sunny.,26,14
314,Clear.,27,15
315,Partly sunny.,27,15
316,Partly sunny.,27,15
317,Fog.,28,17
318,Fog.,28,17
319,Partly sunny.,25,14
320,Partly sunny.,25,14
321,Chilly.,25,16
322,Quite cool.,24,15
323,Partly sunny.,24,13
324,Partly sunny.,26,14
325,Partly sunny.,27,14
326,Clear.,27,16
327,Partly sunny.,26,15
328,Partly sunny.,26,13
329,Clear.,26,16
330,Clear.,27,20
331,Clear.,26,17
332,Clear.,25,17
333,Partly sunny.,25,12
334,Sunny.,21,16
