date,weather,tempHigh,tempLow
274,More clouds than sun.,35,28
275,Heavy rain. Mostly cloudy.,34,31
276,Light rain. Partly sunny.,34,30
277,More clouds than sun.,34,30
278,More clouds than sun.,29,27
279,More clouds than sun.,31,28
280,More clouds than sun.,33,27
281,More clouds than sun.,26,26
282,More clouds than sun.,33,25
283,Snow flurries. Passing clouds.,31,26
284,Partly sunny.,32,24
285,Frigid.,32,26
286,Frigid.,32,25
287,Frigid.,32,23
288,Passing clouds.,31,22
289,Frigid.,32,23
290,Frigid.,32,22
291,Frigid.,32,22
292,Frigid.,32,22
293,Frigid.,32,22
294,Frigid.,32,25
295,Frigid.,32,25
296,Passing clouds.,30,23
297,Passing clouds.,30,23
298,Scattered clouds.,30,24
299,Passing clouds.,30,22
300,Partly sunny.,30,20
301,Passing clouds.,29,20
302,Partly sunny.,30,18
303,Partly sunny.,29,18
304,Partly sunny.,27,19
