date,weather,tempHigh,tempLow
213,Ice fog.,29,28
214,Mild.,32,28
215,Mild.,33,29
216,Mild.,34,31
217,Sunny.,34,32
218,Mild.,31,28
219,Mild.,35,30
220,Sunny.,50,31
221,Mild.,33,30
222,Mild.,33,30
223,Haze.,29,27
224,Mild.,33,28
225,Mild.,32,28
226,Ice fog.,29,27
227,Mild.,33,29
228,Fog.,33,29
229,Mild.,31,28
230,Mild.,30,28
231,Mild.,34,29
232,Mild.,34,30
233,Mild.,33,28
234,Mild.,34,28
235,Mild.,32,30
236,Overcast.,32,29
237,Mild.,33,29
238,Mild.,33,29
239,Mild.,32,28
240,Sprinkles. Low clouds.,35,30
241,Mild.,33,29
242,Mild.,29,28
243,Haze.,27,25
