date,weather,tempHigh,tempLow
182,Clear.,34,31
183,Clear.,29,28
184,Fog.,30,28
185,Clear.,30,28
186,Clear.,35,31
187,Clear.,34,30
188,Clear.,34,31
189,Sunny.,33,31
190,Rain. More clouds than sun.,34,31
191,Passing clouds.,35,31
192,Clear.,31,29
193,Light rain. Passing clouds.,33,29
194,Rain. More clouds than sun.,34,31
195,Clear.,31,30
196,Clear.,32,29
197,Light rain. Passing clouds.,26,25
198,Freezing rain. Cloudy.,29,27
199,Light rain. Passing clouds.,29,25
200,Clear.,33,29
201,Passing clouds.,35,32
202,Passing clouds.,35,31
203,Passing clouds.,35,32
204,Fog.,33,29
205,Clear.,33,30
206,Rain. More clouds than sun.,33,31
207,Clear.,34,31
208,Clear.,29,29
209,Low clouds.,32,28
210,Clear.,28,28
211,Light rain. Passing clouds.,29,27
212,Clear.,30,28
