date,weather,tempHigh,tempLow
335,Overcast.,22,16
336,Low clouds.,22,13
337,Low clouds.,23,14
338,Low clouds.,23,11
339,Low clouds.,23,11
340,Low clouds.,22,12
341,Overcast.,20,13
342,Overcast.,20,9
343,Low clouds.,23,10
344,Overcast.,17,13
345,Low clouds.,21,13
346,Low clouds.,25,13
347,Low clouds.,24,12
348,Low clouds.,20,13
349,Low clouds.,20,12
350,Low clouds.,21,8
351,Low clouds.,19,11
352,Low clouds.,19,10
353,Low clouds.,19,9
354,Low clouds.,20,13
355,Low clouds.,21,13
356,Low clouds.,20,10
357,Low clouds.,20,9
358,Overcast.,19,9
359,Low clouds.,14,13
360,Low clouds.,19,11
361,Low clouds.,20,11
362,Low clouds.,21,10
363,Low clouds.,17,11
364,Low clouds.,14,11
365,Low clouds.,16,16
