date,weather,tempHigh,tempLow
1,Partly cloudy.,20,10
2,Partly cloudy.,20,9
3,Partly cloudy.,18,10
4,Broken clouds.,20,20
5,Partly cloudy.,23,12
6,Partly cloudy.,21,12
7,Snow flurries. Passing clouds.,20,14
8,Partly cloudy.,15,14
9,Partly cloudy.,19,11
10,Partly cloudy.,21,10
11,Partly cloudy.,22,10
12,Partly cloudy.,23,10
13,Snow flurries. Dense fog.,21,16
14,Partly cloudy.,16,14
15,Partly cloudy.,13,12
16,Partly cloudy.,12,12
17,Partly cloudy.,16,11
18,Partly cloudy.,17,8
19,Partly cloudy.,13,11
20,Partly cloudy.,12,11
21,Partly cloudy.,12,9
22,Partly cloudy.,14,8
23,Snow flurries. Passing clouds.,17,8
24,Partly cloudy.,11,8
25,Partly cloudy.,7,7
26,Partly cloudy.,15,10
27,Partly cloudy.,20,10
28,Partly cloudy.,20,10
29,Partly cloudy.,22,13
30,Thunderstorms. Fog.,23,23
31,Partly cloudy.,20,16
